StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
,,,,,,Sol,0,0,0,,,,
2666,3821,4614,219,Gl  34  A,24Eta Cas,Eta Cassiopeiae,0.8180835,+57.81654770,5.95273528186202,3.46,4.58641715047222,G0V SB,0.587
60470,84051,,,,,HIP 84051,17.18316429,-52.51589200,12.5738714950333,10.05,9.55265491226378,,1.457
79138,108870,209100,8387,Gl 845,Eps Ind,Epsilon Indi,22.05484433,-56.77980602,3.62634174644619,4.69,6.89265635199946,K5V,1.056
10892,15510,20794,1008,Gl 139,,82 Eridani,3.33145134,-43.07154929,6.05987153072355,4.26,5.34768291389568,G8V,0.711
71911,99240,190248,7665,Gl 780,Del Pav,Delta Pavonis,20.14496114,-66.17932101,6.10761619739816,3.55,4.62064130911705,G5IV-Vvar,0.751
1161,1599,1581,77,Gl  17,Zet Tuc,Zeta Tucanae,0.33386505,-64.87762320,8.59254167382712,4.23,4.55939176428696,F9V,0.576
76933,105858,203608,8181,Gl 827,Gam Pav,Gamma Pavonis,21.44069225,-65.36814438,9.21658986175115,4.21,4.38714869092274,F6V,0.494
9887,14101,,,NN 3192 A,,HIP 14101,3.03100188,-16.59263281,10.756157900398,10.40,10.2417141547947,,
1451,2021,2151,98,Gl  19,Bet Hyi,Beta Hydri,0.42755612,-77.25503511,7.47495888772612,2.82,3.45195595808307,G2IV,0.618
13916,19849,26965,1325,Gl 166  A,40Omi2Eri,Omicron2 Eridani,4.25489948,-07.64455846,5.04439063761098,4.43,5.91595644515994,K1V,0.820
82197,113229,,,Gl 877,,GL 877,22.92997139,-75.45609056,8.61920358558869,10.42,10.7426643056579,K,1.485
12165,17378,23249,1136,Gl 150,23Del Eri,Delta Eridani,3.72082113,-09.76519868,9.04322662325918,3.52,3.73838292801359,K0IV,0.915
11608,16537,22049,1084,Gl 144,18Eps Eri,Epsilon Eridani,3.549006,-09.45830584,3.21802091713596,3.72,6.18205568656841,K2V,0.881
3850,5496,,,Gl  54,,GL 54,1.17286254,-67.44634604,8.13934559661403,9.80,10.2470525549177,K,1.568
,,,,,,Alpha Centauri,,,,,,,
51926,71683,128620,5459,Gl 559  A,Alp1Cen,Alpha Centauri A,14.66136068,-60.83514707,1.34749097181049,-0.01,4.34237067952252,G2V,0.710
51923,71681,128621,5460,Gl 559  B,Alp2Cen,Alpha Centauri B,14.66094188,-60.83947139,1.34749097181049,1.35,5.70237067952252,K1V,0.900
19278,27072,38393,1983,Gl 216  A,13Gam Lep,Gamma Leporis A,5.74110416,-22.44748663,8.96941429724639,3.59,3.82617957729841,F7V,0.481
10860,15457,20630,996,Gl 137,96Kap1Cet,Kappa Ceti,3.32264969,+03.36997055,9.15918666422422,4.84,5.03071544984971,G5Vvar,0.681
5668,8102,10700,509,Gl  71,52Tau Cet,Tau Ceti,1.73475762,-15.93955597,3.6473720684247,3.49,5.68009966023162,G8V,0.727
5416,7751,10360,486,Gl  66  B,,P Eridani,1.66312306,-56.19644067,8.14663951120163,5.76,6.20510750397503,K0V,0.880
34895,47080,82885,3815,Gl 356  A,11    LMi,11 Leonis Minoris,9.59445206,+35.81076694,11.1794298490777,5.40,5.15790172451696,G8IV-V,0.770
